experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test2_model_a_on_mutated_data,Model A,mutated_data,0.21,9012,0.6994,0.6271,0.9327,0.75,38.537,0.6458,0,0.0,9012,4063,2416,293,2240
test2_model_a_on_mutated_data,Model A,mutated_data,0.22,9012,0.6994,0.6274,0.9309,0.7496,38.537,0.6458,0,0.0,9012,4055,2408,301,2248
test2_model_a_on_mutated_data,Model A,mutated_data,0.23,9012,0.7,0.6283,0.9286,0.7495,38.537,0.6458,0,0.0,9012,4045,2393,311,2263
test2_model_a_on_mutated_data,Model A,mutated_data,0.24,9012,0.7012,0.6297,0.927,0.7499,38.537,0.6458,0,0.0,9012,4038,2375,318,2281
test2_model_a_on_mutated_data,Model A,mutated_data,0.25,9012,0.7017,0.6306,0.9247,0.7498,38.537,0.6458,0,0.0,9012,4028,2360,328,2296
test2_model_a_on_mutated_data,Model A,mutated_data,0.26,9012,0.7035,0.6324,0.9233,0.7507,38.537,0.6458,0,0.0,9012,4022,2338,334,2318
test2_model_a_on_mutated_data,Model A,mutated_data,0.27,9012,0.7052,0.634,0.9226,0.7516,38.537,0.6458,0,0.0,9012,4019,2320,337,2336
test2_model_a_on_mutated_data,Model A,mutated_data,0.28,9012,0.7058,0.6348,0.9215,0.7518,38.537,0.6458,0,0.0,9012,4014,2309,342,2347
test2_model_a_on_mutated_data,Model A,mutated_data,0.29,9012,0.7058,0.6354,0.9183,0.7511,38.537,0.6458,0,0.0,9012,4000,2295,356,2361
test2_model_a_on_mutated_data,Model A,mutated_data,0.30,9012,0.7063,0.6362,0.9162,0.751,38.537,0.6458,0,0.0,9012,3991,2282,365,2374
test2_model_a_on_mutated_data,Model A,mutated_data,0.31,9012,0.7073,0.6373,0.9153,0.7514,38.537,0.6458,0,0.0,9012,3987,2269,369,2387
test2_model_a_on_mutated_data,Model A,mutated_data,0.32,9012,0.7083,0.6384,0.9141,0.7518,38.537,0.6458,0,0.0,9012,3982,2255,374,2401
test2_model_a_on_mutated_data,Model A,mutated_data,0.33,9012,0.7088,0.6392,0.913,0.7519,38.537,0.6458,0,0.0,9012,3977,2245,379,2411
test2_model_a_on_mutated_data,Model A,mutated_data,0.34,9012,0.7093,0.6397,0.9125,0.7521,38.537,0.6458,0,0.0,9012,3975,2239,381,2417
test2_model_a_on_mutated_data,Model A,mutated_data,0.35,9012,0.7095,0.6403,0.9107,0.7519,38.537,0.6458,0,0.0,9012,3967,2229,389,2427
test2_model_a_on_mutated_data,Model A,mutated_data,0.36,9012,0.7095,0.6405,0.9093,0.7516,38.537,0.6458,0,0.0,9012,3961,2223,395,2433
test2_model_a_on_mutated_data,Model A,mutated_data,0.37,9012,0.7102,0.6414,0.9079,0.7518,38.537,0.6458,0,0.0,9012,3955,2211,401,2445
test2_model_a_on_mutated_data,Model A,mutated_data,0.38,9012,0.7108,0.6422,0.907,0.752,38.537,0.6458,0,0.0,9012,3951,2201,405,2455
test2_model_a_on_mutated_data,Model A,mutated_data,0.39,9012,0.7115,0.6431,0.9056,0.7521,38.537,0.6458,0,0.0,9012,3945,2189,411,2467
